City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ardabil,IR,38.2498,48.2933,29.75,74,40,9.22,scattered clouds
80,Saskylakh,RU,71.9167,114.0833,-6.97,96,61,8.88,broken clouds
81,Cairns,AU,-16.9167,145.7667,78.06,91,14,1.14,few clouds
82,Hithadhoo,MV,-0.6,73.0833,81.86,74,59,11.81,broken clouds
83,Voznesenskoye,RU,54.89,42.7569,14.4,97,93,2.8,overcast clouds
84,Bud,US,39.447,-86.1758,47.43,61,97,13.78,overcast clouds
85,Esperance,AU,-33.8667,121.9,60.64,88,16,9.64,few clouds
86,George Town,MY,5.4112,100.3354,78.89,96,20,4.61,few clouds
87,Jamestown,US,42.097,-79.2353,49.32,65,100,11.5,overcast clouds
88,Luang Prabang,LA,19.8856,102.1347,60.85,75,11,0.36,few clouds
89,Bethel,US,41.3712,-73.414,43.48,59,2,5.57,clear sky
90,Naryan-Mar,RU,67.6713,53.087,13.35,84,43,21.25,scattered clouds
91,Abu Dhabi,AE,24.4667,54.3667,65.97,78,0,1.14,clear sky
92,Fairbanks,US,64.8378,-147.7164,-3.91,75,100,3.44,light snow
93,Okhotsk,RU,59.3833,143.3,7.63,80,100,8.93,overcast clouds
94,Kodiak,US,57.79,-152.4072,22.51,36,0,16.11,clear sky
95,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,16.11,broken clouds
96,Kavieng,PG,-2.5744,150.7967,82.13,77,68,5.73,light rain
97,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,75,4.61,light intensity drizzle
98,Antalaha,MG,-14.9003,50.2788,75.16,93,76,4.52,broken clouds
99,New Norfolk,AU,-42.7826,147.0587,64.71,61,57,1.01,broken clouds
100,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,75,4.61,broken clouds
101,Carnarvon,AU,-24.8667,113.6333,75.27,78,0,12.66,clear sky
102,Pacific Grove,US,36.6177,-121.9166,80.71,21,0,5.75,clear sky
103,Eastbourne,GB,50.7687,0.2845,49.41,95,100,9.6,overcast clouds
104,Butaritari,KI,3.0707,172.7902,81.86,77,74,13.82,light rain
105,Lata,PT,40.1629,-8.3327,50.41,69,5,3.06,clear sky
106,East London,ZA,-33.0153,27.9116,69.06,79,0,4.83,clear sky
107,Villa Bruzual,VE,9.3328,-69.1208,88.12,46,100,4.63,overcast clouds
108,Tondano,ID,1.3038,124.9112,68.09,92,99,1.1,overcast clouds
109,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,9.22,scattered clouds
110,Karratha,AU,-20.7377,116.8463,82.33,73,39,1.57,scattered clouds
111,Sampit,ID,-2.5333,112.95,72.57,97,100,0.67,moderate rain
112,Pipirig,RO,47.25,26.0667,37.26,87,42,6.64,scattered clouds
